COUNTRY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,97.29125214,,,,,,,,,,96.82263947,,,,,,,,
Afghanistan,,,,,,,,,,,,31.74111938,,,,,,,
Angola,,67.4054184,,,,,,,,,,,,,66.03011322,,,,
Albania,,98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,
Arab World,64.1260376,65.35204315,66.50626373,69.14340973,70.10079193,70.69716644,68.56240845,69.06260681,70.00261688,68.66351318,69.63678741,71.37223816,72.48430634,72.74568176,73.32167053,73.74157715,74.15789032,,
United Arab Emirates,,,,,,90.03385162,,,,,,,,,,,,,
Argentina,,97.1933136,,,,,98.6108017,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,
Armenia,,99.40016174,,,,,,,,,,99.74440765,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,98.94999695,,,,,,,,,,,,,,98.94999695,,,
Australia,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,99.60191345,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,,
Burundi,59.30361938,,,,,,,,48.08406067,,,,,,61.56972885,,,,
Belgium,,,,,,,,,,,,,,,,,,,
Benin,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,
Burkina Faso,,,,21.82291985,,23.55372047,22.47257996,28.7292099,,,,,,,34.59939957,,,,
Bangladesh,,47.48550034,,,,,,46.66360092,,,,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,
Bulgaria,,98.20355988,,,,,,,,,,98.35244751,,,,,,,
Bahrain,,86.54873657,,,,,,,,,94.55679321,,,,,,94.88999939,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,96.6631012,,,,,,,,,,,98.14203644,,96.99176788,,,,,
Belarus,,,,,,,,,,99.6170578,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,
Bolivia,,86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,92.45507813,,,
Brazil,86.36788177,,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,,,
Barbados,,,,,99.59999847,,,,,,,,,,99.59999847,,,,
Brunei Darussalam,,92.67112732,,,,,,,,,,96.08556366,,,,,,,
Bhutan,,,,,,52.81468964,,,,,,,57.03359985,,,,,,
Botswana,,,,81.18871307,,,,,,,,,,,87.69999695,,,,
Central African Republic,50.6451683,,,,,,,,,,36.75260925,,,,,,,,
